fText,article,eText,gender,quantity
bananes,les,bananas,f,p
boulangerie,la,bakery,f,s
bouteille,la,bottle,f,s
bouteilles,les,bottles,f,p
chaise,la,chair,f,s
chaises,les,chairs,f,p
chocolat,le,chocolate,m,s
croissants,le,croissant,m,s
croissants,les,croissants,m,p
cuisine,la,kitchen,f,s
dessert,le,dessert,m,s
eau,l',water,f,s
gâteau,le,cake,m,s
jus,le,juice,m,s
lait,le,milk,m,s
légume,le,vegetable,m,s
oeuf,l',egg,m,s
orange,l',orange,f,s
oranges,les,oranges,f,p
petit dé jeuner,le,breakfast,m,s
pizza,la,pizza,f,s
pizzas,les,pizzas,f,p
placard,le,cupboard,m,s
placards,les,cupboards,m,p
repas,le,meal,m,s
repas,les,meals,m,p
restaurant,le,restaurant,m,s
restaurants,les,restaurants,m,p
sel,le,salt,m,s
sucre,le,sugar,m,s
supermarché,le,supermarket,m,s
supermarchés,les,supermarkets,m,p
table,la,table,f,s
tables,les,tables,f,p
tasse,la,cup,f,s
tasses,les,cups,f,p
verre,le,glass,m,s
frigo,le,fridge,m,s
baguette,la,baguette,f,s
plat,le,dish,m,s
fruit,le,fruit,m,s
pomme,la,apple,f,s
dîner,le,dinner,m,s
fromage,le,cheese,m,s
salade,la,salad,f,s
pain,le,bread,m,s
sandwich,le,sandwich,m,s
eau,l',water,f,s
vin,le,wine,m,s
serveur,le,server,m,s
serveuses,les,waitresses,f,p
thé,le,tea,m,s
brioche,la,bun,f,s
beurre,le,butter,m,s
miel,le,honey,m,s
cuillère,la,spoon,f,s
cuillères,les,spoons,f,p
fourchette,la,fork,f,s
fourchettes,les,forks,f,p
couteau,le,knife,m,s
couteaux,les,knives,m,p
assiette,l',dinner plate,f,s
assiettes,les,dinner plates,f,p
plat principal,le,main course,m,s
vaisselle,la,dishes,f,s
champignon,le,mushroom,m,s
beurre de cacahuète,le,peanut butter,m,s
